LHD,date,Year,Strain,Cases,year,temperature_2m,relative_humidity_2m,precipitation,rain,surface_pressure,sunshine_duration,spatial_lhd,lhd_code,temp_lag1
Central Coast,2001-01-01,2001,Total,0,2001,22.45300767876344,74.54417706048388,68.50000000000003,68.50000000000003,1003.189924811828,1234709.3124391,Central Coast,X770,NA
Central Coast,2001-02-01,2001,Total,0,2001,22.130124623511904,81.00862157142858,68.20000000000005,68.20000000000005,1003.4145590327381,1034111.75621,Central Coast,X770,22.45300767876344
Central Coast,2001-03-01,2001,Total,0,2001,20.178545262096772,74.43444049865592,124.39999999999995,124.39999999999995,1004.3981493145161,1051866.5193599996,Central Coast,X770,22.130124623511904
Central Coast,2001-04-01,2001,Total,0,2001,18.364430272222222,77.05903639722221,95.10000000000004,95.10000000000004,1008.6755742916666,975583.1527307001,Central Coast,X770,20.178545262096772
Central Coast,2001-05-01,2001,Total,0,2001,14.457040373655913,76.81022249865592,148.79999999999967,148.79999999999967,1005.5823246908602,968201.1654129996,Central Coast,X770,18.364430272222222
Central Coast,2001-06-01,2001,Total,1,2001,13.89366669027778,72.03434831805555,6.299999999999998,6.299999999999998,1010.6583958194444,863792.45597,Central Coast,X770,14.457040373655913
Central Coast,2001-07-01,2001,Total,0,2001,12.703209880510753,76.3215492110215,101.7,101.7,1007.367501626344,886074.335678,Central Coast,X770,13.89366669027778
Central Coast,2001-08-01,2001,Total,0,2001,12.815037765591397,64.49596134408603,37.80000000000003,37.80000000000003,1003.0101916935483,1049165.3557234001,Central Coast,X770,12.703209880510753
Central Coast,2001-09-01,2001,Total,0,2001,15.971722130555557,71.1136230263889,26.300000000000008,26.300000000000008,1006.7005007083334,1135112.17321,Central Coast,X770,12.815037765591397
Central Coast,2001-10-01,2001,Total,0,2001,17.178478326612904,62.19753276478494,50.50000000000003,50.50000000000003,999.770537204301,1268070.3211450002,Central Coast,X770,15.971722130555557
Central Coast,2001-11-01,2001,Total,0,2001,17.988944205555555,71.1362696,70.2,70.2,1001.2845150555555,1134718.8955670006,Central Coast,X770,17.178478326612904
Central Coast,2001-12-01,2001,Total,0,2001,20.889970075268817,69.64642364112903,37.30000000000001,37.30000000000001,996.2330124462366,1285005.6906600003,Central Coast,X770,17.988944205555555
Central Coast,2002-01-01,2002,Total,0,2002,21.82316894354839,69.18605207123656,30.10000000000001,30.10000000000001,999.7172090994624,1359862.3995779997,Central Coast,X770,20.889970075268817
Central Coast,2002-02-01,2002,Total,0,2002,20.72372580952381,80.45842976339286,159.79999999999984,159.79999999999984,1001.1040139285715,924676.5809340001,Central Coast,X770,21.82316894354839
Central Coast,2002-03-01,2002,Total,0,2002,20.384795336021508,75.61165458870968,88.90000000000002,88.90000000000002,1005.1121087768818,1068423.8148276005,Central Coast,X770,20.72372580952381
Central Coast,2002-04-01,2002,Total,0,2002,18.597138519444446,79.75550848888889,50.6,50.6,1008.6044441388889,1018097.7289949998,Central Coast,X770,20.384795336021508
Central Coast,2002-05-01,2002,Total,0,2002,15.018801064516135,77.14205064650538,75.49999999999996,75.49999999999996,1007.5460103494623,922475.1946500002,Central Coast,X770,18.597138519444446
Central Coast,2002-06-01,2002,Total,3,2002,13.21623623527778,68.76614740972222,29.900000000000013,29.900000000000013,1006.5427143333334,872461.2427,Central Coast,X770,15.018801064516135
Central Coast,2002-07-01,2002,Total,1,2002,12.408653380779569,61.84290879032258,13.2,13.2,1007.771346639785,1019326.3482800002,Central Coast,X770,13.21623623527778
Central Coast,2002-08-01,2002,Total,3,2002,13.760669450268818,67.67272063709677,39.2,39.2,1008.7026265053763,1098832.4964574997,Central Coast,X770,12.408653380779569
Central Coast,2002-09-01,2002,Total,4,2002,15.969847130555555,64.34784445555556,24.2,24.2,1003.4851155833334,1115997.3676729999,Central Coast,X770,13.760669450268818
